Drug_UMLS_CUI,Disease_UMLS_CUI,GROUNDTRUTH
C0008024,C0036572,0
C0008024,C0282528,0
C0008024,C0008780,0
C0008024,C0033860,0
C0008024,C0149893,0
C0008024,C0020541,0
C0008024,C0023895,0
C0008024,C0030193,0
C0008024,C1535926,0
C0008024,C0026769,0
C0008024,C0023890,0
C0008024,C0005424,0
C0008024,C0002395,0
C0008024,C0027051,0
C0008024,C2931688,0
C0008024,C0162635,0
C0008024,C0014553,0
C0008024,C1142166,0
C0008024,C0038220,0
C0008024,C0085612,0
C0008024,C0007222,0
C0008024,C0022578,0
C0008024,C0022972,0
C0008024,C0004604,0
C0008024,C0029408,0
C0008024,C0003873,0
C0008024,C0026896,0
C0008024,C0009806,0
C0008024,C0011849,0
C0008024,C0023264,0
C0008024,C1145670,0
C0008024,C0038868,0
C0008024,C0751882,0
C0008024,C0029121,0
C0008024,C0687148,0
C0008024,C0342895,0
C0008024,C0035222,0
C0008024,C0085649,0
C0008024,C0002736,0
C0008024,C0001125,0
C0008024,C0004238,0
C0008024,C0376358,0
C0008024,C0007959,0
C0008024,C0037928,0
C0008024,C0022661,0
C0008024,C0004352,0
C0008024,C1692317,0
C0008024,C0037769,0
C0008024,C0553604,0
C0008024,C0038218,0
C0008024,C0010200,0
C0008024,C3495559,0
C0008024,C0033845,0
C0008024,C0020538,0
C0008024,C0032580,0
C0008024,C0001916,0
C0008024,C1849508,0
C0008024,C0020258,0
C0008024,C0003537,0
C0008024,C0004106,0
C0008024,C0030568,0
C0008024,C0030567,0
C0008024,C1510471,0
C0008024,C0520679,0
C0008024,C0020490,0
C0008024,C0948089,0
C0008024,C0013604,0
C0008024,C0600260,0
C0008024,C0016719,0
C0008024,C0442874,0
C0008024,C0347950,0
C0008024,C0087012,0
C0008024,C0011269,0
C0008024,C0017612,0
C0008024,C1527304,0
C0008024,C2711227,0
C0008024,C0015397,0
C0008024,C0026847,0
C0008024,C0026848,0
C0008024,C0206693,0
C0008024,C0338451,0
C0008024,C0006325,0
C0008024,C0236780,0
C0008024,C0005586,0
C0008024,C0031485,0
C0008024,C0004096,0
C0008024,C0027092,0
C0008024,C0162316,0
C0008024,C0034063,0
C0008024,C1956346,0
C0008024,C0043459,0
C0008024,C0008350,0
C0008024,C0011882,0
C0008024,C0751965,0
C0008024,C0027947,0
C0008024,C0009324,0
C0008024,C0006057,0
C0008024,C0085417,0
C0008024,C0242383,0
C0008024,C0022658,0
C0008024,C0028754,0
C0008024,C0242422,0
C0008024,C3203102,0
C0008024,C0011884,0
C0008024,C0015967,0
C0008024,C0684249,0
C0008024,C0278883,0
C0008024,C1168401,0
C0008024,C0206754,0
C0008024,C0042510,0
C0008024,C0751435,0
C0008024,C0751436,0
C0008024,C0271051,0
C0008024,C0002418,0
C0008024,C0006266,0
C0008024,C0021775,0
C0008024,C0024408,0
C0008024,C0002895,0
C0008024,C0268631,0
C0008024,C0006826,0
C0008024,C0268595,0
C0008024,C0751434,0
C0008024,C0013238,0
