Drug_UMLS_CUI,Gene_UMLS_CUI,GROUNDTRUTH
C1567753,C1538301,0
C1567753,C1415012,0
C1567753,C1415009,0
C1567753,C1417647,0
C1567753,C1420527,0
C1567753,C1412691,0
C1567753,C1418674,0
C1567753,C1418469,0
C1567753,C1418470,0
C1567753,C1414085,0
C4078701,C1538301,0
C4078701,C1415012,0
C4078701,C1415009,0
C4078701,C1417647,0
C4078701,C1420527,0
C4078701,C1412691,0
C4078701,C1418674,0
C4078701,C1418469,0
C4078701,C1418470,0
C4078701,C1414085,0
C4078701,C3469975,0
C4078701,C1420150,0
C4255999,C1538301,0
C4255999,C1415012,0
C4255999,C1415009,0
C4255999,C1417647,0
C4255999,C1420527,0
C4255999,C1412691,0
C4255999,C1418674,0
C4255999,C1418469,0
C4255999,C1418470,0
C4255999,C1414085,0
C4255999,C3469975,0
C4255999,C1420150,0
C0002699,C1538301,0
C0002699,C1415012,0
C0002699,C1415009,0
C0002699,C1417647,0
C0002699,C1420527,0
C0002699,C1412691,0
C0002699,C1418674,0
C0002699,C1418469,0
C0002699,C1418470,0
C0002699,C1414085,0
C0002699,C3469975,0
C0002699,C1420150,0
C3851350,C1538301,0
C3851350,C1415012,0
C3851350,C1415009,0
C3851350,C1417647,0
C3851350,C1420527,0
C3851350,C1412691,0
C3851350,C1418674,0
C3851350,C1418469,0
C3851350,C1418470,0
C3851350,C1414085,0
C3851350,C3469975,0
C3851350,C1420150,0
C2975435,C1538301,0
C2975435,C1415012,0
C2975435,C1415009,0
C2975435,C1417647,0
C2975435,C1420527,0
C2975435,C1412691,0
C2975435,C1418674,0
C2975435,C1418469,0
C2975435,C1418470,0
C2975435,C1414085,0
C2975435,C3469975,0
C2975435,C1420150,0
C0077071,C1538301,0
C0077071,C1415012,0
C0077071,C1415009,0
C0077071,C1417647,0
C0077071,C1420527,0
C0077071,C1412691,0
C0077071,C1418674,0
C0077071,C1418469,0
C0077071,C1418470,0
C0077071,C1414085,0
C0077071,C3469975,0
C0077071,C1420150,0
C0034266,C1538301,0
C0034266,C1415012,0
C0034266,C1412339,0
C0034266,C1415009,0
C0034266,C1417647,0
C0034266,C1420527,0
C0034266,C1412691,0
C0034266,C1418674,0
C0034266,C1418469,0
C0034266,C1418470,0
C0034266,C1414085,0
C0034266,C3469975,0
C0034266,C1420150,0
C1170011,C1538301,0
C1170011,C1415012,0
C1170011,C1415009,0
C1170011,C1417647,0
C1170011,C1420527,0
C1170011,C1412691,0
C1170011,C1418674,0
C1170011,C1418469,0
C1170011,C1418470,0
C1170011,C1414085,0
C1170011,C3469975,0
C1170011,C1420150,0
C0304612,C1538301,0
C0304612,C1415012,0
C0304612,C1415009,0
C0304612,C1417647,0
C0304612,C1420527,0
C0304612,C1412691,0
C0304612,C1418674,0
C0304612,C1418469,0
C0304612,C1418470,0
C0304612,C1414085,0
C0304612,C3469975,0
C0304612,C1420150,0
C4292384,C1538301,0
C4292384,C1415012,0
C4292384,C1415009,0
C4292384,C1417647,0
C4292384,C1420527,0
C4292384,C1412691,0
C4292384,C1418674,0
