Drug_UMLS_CUI,Phenotype_UMLS_CUI,GROUNDTRUTH
C0170531,C0001403,0
C0170531,C0234428,0
C0170531,C0151786,0
C0170531,C0001807,0
C0170531,C0041657,0
C0170531,C0455988,0
C0170531,C0233715,0
C0170531,C0239981,0
C0170531,C0007194,0
C0170531,C0008519,0
C0170531,C0038002,0
C0170531,C0442874,0
C0170531,C0162275,0
C0170531,C0242339,0
C0170531,C0268594,0
C0170531,C0011581,0
C0170531,C0549400,0
C0170531,C0586553,0
C0170531,C0013274,0
C0170531,C0266015,0
C0170531,C0012833,0
C0170531,C1510497,0
C0170531,C0011053,0
C0170531,C0234379,0
C0170531,C0151311,0
C0170531,C0239043,0
C0170531,C0008489,0
C0170531,C0270846,0
C0170531,C0020538,0
C0170531,C0751778,0
C0170531,C1306587,0
C0170531,C0018939,0
C0170531,C0032002,0
C0170531,C1842364,0
C0170531,C0002940,0
C0170531,C1839630,0
C0170531,C0151564,0
C0170531,C0033975,0
C0170531,C0042798,0
C0170531,C3489396,0
C0170531,C0151889,0
C0170531,C0003873,0
C0170531,C1527366,0
C0170531,C0004045,0
C0170531,C0221629,0
C0170531,C2930812,0
C0170531,C0018946,0
C0170531,C0018818,0
C0170531,C0024032,0
C0170531,C1839436,0
C0170531,C1277241,0
C0170531,C0022680,0
C0170531,C0027726,0
C0170531,C0023380,0
C0170531,C0235946,0
C0170531,C0234535,0
C0170531,C0041667,0
C0170531,C0410916,0
C0170531,C0000768,0
C0170531,C0151905,0
C0170531,C0020534,0
C0170531,C0557874,0
C0170531,C0004930,0
C0170531,C1865014,0
C0170531,C0271708,0
C0170531,C0022821,0
C0170531,C0743332,0
C0170531,C0020676,0
C0170531,C0848558,0
C0170531,C4021734,0
C0170531,C4316903,0
C0170531,C0424295,0
C0170531,C0424366,0
C0170531,C0003578,0
C0170531,C0233514,0
C0170531,C0018681,0
C0170531,C0456070,0
C0170531,C0029124,0
C0170531,C0022353,0
C0170531,C0740651,0
C0170531,C0542299,0
C0170531,C2938912,0
C0170531,C4551520,0
C0170531,C1837142,0
C0170531,C0023895,0
C0170531,C0266483,0
C0170531,C1846821,0
C0170531,C3887506,0
C0170531,C0152025,0
C0170531,C0008372,0
C0170531,C0427068,0
C0170531,C0235659,0
C0170531,C1839767,0
C0170531,C1837397,0
C0170531,C0149725,0
C0170531,C0541794,0
C0170531,C1838681,0
C0170531,C0023882,0
C0170531,C0476397,0
C0170531,C1857121,0
C0170531,C0476403,0
C0170531,C0151904,0
C0170531,C1836830,0
C0170531,C1858127,0
C0170531,C0232466,0
C0170531,C1968958,0
C0170531,C1859896,0
C0170531,C0019087,0
C0170531,C0234860,0
C0170531,C0024003,0
C0170531,C0235153,0
C0170531,C0035229,0
C0170531,C3279149,0
C0170531,C2700617,0
C0170531,C0013604,0
C0170531,C0151611,0
C0170531,C0036690,0
C0170531,C1720037,0
C0170531,C1659989,0
C0170531,C0035317,0
C0170531,C0241355,0
C0170531,C0003504,0
C0170531,C0266470,0
C0170531,C0175754,0
C0170531,C1806780,0
C0170531,C0027092,0
C0170531,C3714772,0
C0170531,C1843367,0
C0170531,C0018798,0
C0170531,C1850601,0
C0170531,C1846149,0
C0170531,C0029456,0
C0170531,C0009081,0
C0170531,C0234958,0
C0170531,C0266464,0
C0170531,C0456909,0
C0170531,C0151746,0
C0170531,C1856408,0
C0170531,C0684276,0
C0170531,C0002962,0
C0170531,C0151526,0
C0170531,C0035334,0
C0170531,C1837260,0
C0170531,C0040822,0
C0170531,C1855106,0
C0170531,C0311468,0
C0170531,C0751495,0
C0170531,C0026848,0
C0170531,C0015930,0
C0170531,C0004364,0
C0170531,C0004352,0
C0170531,C0042963,0
C0170531,C3275417,0
C0170531,C0271385,0
C0170531,C0011849,0
C0170531,C0428977,0
C0170531,C1855773,0
C0170531,C0022638,0
C0170531,C0599879,0
C0170531,C0007682,0
C0170531,C1835884,0
C0170531,C0151747,0
C0170531,C0021655,0
C0170531,C0206132,0
C0170531,C1848453,0
C0170531,C0271386,0
C0170531,C0031039,0
C0170531,C0347959,0
C0170531,C1858120,0
C0170531,C1850776,0
C0170531,C0037317,0
C0170531,C0010417,0
C0170531,C4721453,0
C0170531,C0349588,0
C0170531,C0023787,0
C0170531,C1854494,0
C0170531,C0020255,0
C0170531,C0751837,0
C0170531,C0878544,0
C0170531,C1855020,0
C0170531,C3714581,0
C0170531,C0018524,0
C0170531,C0456132,0
C0170531,C1837385,0
C0170531,C0449259,0
C0170531,C0026827,0
C0170531,C0444868,0
C0170531,C0040961,0
C0170531,C0016506,0
C0170531,C1865017,0
C0170531,C0240083,0
C0170531,C0239946,0
C0170531,C0010691,0
C0170531,C1864580,0
C0170531,C0220981,0
C0170531,C0020459,0
C0170531,C0683322,0
C0170531,C0018784,0
C0170531,C0270971,0
C0170531,C1854838,0
C0170531,C0269269,0
C0170531,C1837098,0
C0170531,C0036857,0
C0170531,C0836924,0
C0170531,C0009421,0
C0170531,C1864897,0
C0170531,C0018834,0
C0170531,C0019209,0
C0170531,C0018817,0
C0170531,C1857287,0
C0170531,C0266617,0
C0170531,C0151718,0
C0170531,C0742028,0
C0170531,C0001122,0
C0170531,C1854919,0
C0170531,C0010520,0
C0170531,C0003467,0
C0170531,C0020635,0
C0170531,C0036439,0
C0170531,C0031117,0
C0170531,C0231712,0
C0170531,C0235986,0
C0170531,C1848924,0
C0170531,C0151699,0
C0170531,C0410528,0
C0170531,C0035309,0
C0170531,C2711227,0
C0170531,C0037036,0
C0170531,C0494475,0
C0170531,C0021296,0
C0170531,C0023012,0
C0170531,C0438237,0
C0170531,C1836923,0
C0170531,C1853743,0
C0170531,C0029453,0
C0170531,C0015967,0
C0170531,C0004368,0
C0170531,C0014130,0
C0170531,C1855019,0
C0170531,C0011991,0
C0170531,C0006114,0
C0170531,C0235996,0
C0170531,C1865916,0
C0170531,C0917816,0
C0170531,C0154671,0
C0170531,C1258215,0
C0170531,C0036572,0
C0170531,C0271215,0
C0170531,C0241210,0
C0170531,C0004941,0
C0170531,C0151686,0
C0170531,C1854301,0
C0170531,C0241657,0
C0170531,C1859236,0
C0170531,C3714745,0
C0170531,C0751093,0
C0170531,C0085584,0
C0170531,C0013384,0
C0170531,C0025362,0
C0170531,C0521532,0
C0170531,C0012691,0
C0170531,C0017168,0
C0170531,C0013132,0
C0170531,C0039273,0
C0170531,C0234967,0
C0170531,C3714756,0
C0170531,C1145670,0
C0170531,C0034933,0
C0170531,C0009918,0
C0170531,C1837263,0
C0170531,C1848954,0
C0170531,C0427086,0
